Country,Date,Confirmed,Deaths,Recovered
India,2020-04-27,29451,939,7137
India,2020-04-26,27890,881,6523
India,2020-04-25,26283,825,5939
India,2020-04-24,24530,780,5498
India,2020-04-23,23077,721,5012
India,2020-04-22,21370,681,4370
India,2020-04-21,20080,645,3975
India,2020-04-20,18539,592,3273
India,2020-04-19,17615,559,2854
India,2020-04-18,15722,521,2463
India,2020-04-17,14352,486,2041
India,2020-04-16,13430,448,1768
India,2020-04-15,12322,405,1432
India,2020-04-14,11487,393,1359
India,2020-04-13,10453,358,1181
India,2020-04-12,9205,331,1080
India,2020-04-11,8446,288,969
India,2020-04-10,7598,246,774
India,2020-04-09,6725,226,620
India,2020-04-08,5916,178,506
India,2020-04-07,5311,150,421
India,2020-04-06,4778,136,375
India,2020-04-05,3588,99,229
India,2020-04-04,3082,86,229
India,2020-04-03,2567,72,192
India,2020-04-02,2543,72,191
India,2020-04-01,1998,58,148
